[550, 650, 500, 200, 200]
[550. 650. 500. 200. 200.]
[550. 650. 500. 200. 200.]
[550. 650. 500. 200. 200.]
[550. 650. 500. 200. 200.]
[550.         650.         499.99981482 200.00185185 200.        ]
[550.         649.99814815 500.00148149 200.0037037  200.        ]
[550.         649.9962963  500.00314816 200.00555556 200.        ]
[550.         649.99444444 500.00481484 200.00740741 200.        ]
[550.         649.99259259 500.00648151 200.00925926 200.        ]
[550.         649.99074074 500.00814818 200.01111111 200.        ]
[550.         649.98888889 500.00981485 200.01296296 200.        ]
[550.         649.98703704 500.01148152 200.01481481 200.        ]
[550.         649.98518519 500.01314819 200.01666667 200.        ]
[550.         649.98333333 500.01481487 200.01851852 200.        ]
[550.         649.98148148 500.01648154 200.02037037 200.        ]
[550.         649.97962963 500.01814821 200.02222222 200.        ]
[550.         649.97777778 500.01981488 200.02407407 200.        ]
[550.         649.97592593 500.02148155 200.02592593 200.        ]
[550.         649.97407407 500.02314823 200.02777778 200.        ]
[550.         649.97222222 500.0248149  200.02962963 200.        ]
[550.         649.97037037 500.02648157 200.03148148 200.        ]
[550.         649.96851852 500.02814824 200.03333333 200.        ]
[550.         649.96666667 500.02981491 200.03518519 200.        ]
[550.         649.96481481 500.03148158 200.03703704 200.        ]
[550.         649.96296296 500.03314826 200.03888889 200.        ]
[550.         649.96111111 500.03481493 200.04074074 200.        ]
[550.         649.95925926 500.0364816  200.04259259 200.        ]
[550.         649.95740741 500.03814827 200.04444444 200.        ]
[550.         649.95555556 500.03981494 200.0462963  200.        ]
[550.         649.9537037  500.04148162 200.04814815 200.        ]
[550.         649.95185185 500.04314829 200.05       200.        ]
[550.         649.95       500.04481496 200.05185185 200.        ]
[550.         649.94814815 500.04648163 200.0537037  200.        ]
[550.         649.9462963  500.0481483  200.05555556 200.        ]
[550.         649.94444444 500.04981497 200.05740741 200.        ]
[550.         649.94259259 500.05148165 200.05925926 200.        ]
[550.         649.94074074 500.05314832 200.06111111 200.        ]
[550.         649.93888889 500.05481499 200.06296296 200.        ]
[550.         649.93703704 500.05648166 200.06481481 200.        ]
[550.         649.93518519 500.05814833 200.06666667 200.        ]
[550.         649.93333333 500.05981501 200.06851852 200.        ]
[550.         649.93148148 500.06148168 200.07037037 200.        ]
[550.         649.92962963 500.06314835 200.07222222 200.        ]
[550.         649.92777778 500.06481502 200.07407407 200.        ]
[550.         649.92592593 500.06648169 200.07592593 200.        ]
[550.         649.92407407 500.06814836 200.07777778 200.        ]
[550.         649.92222222 500.06981504 200.07962963 200.        ]
[550.         649.92037037 500.07148171 200.08148148 200.        ]
[550.         649.91851852 500.07314838 200.08333333 200.        ]
[550.         649.91666667 500.07481505 200.08518519 200.        ]
[550.         649.91481481 500.07648172 200.08703704 200.        ]
[550.         649.91296296 500.0781484  200.08888889 200.        ]
[550.         649.91111111 500.07981507 200.09074074 200.        ]
[550.         649.90925926 500.08148174 200.09259259 200.        ]
[550.         649.90740741 500.08314841 200.09444444 200.        ]
[550.         649.90555556 500.08481508 200.0962963  200.        ]
[550.         649.9037037  500.08648175 200.09814815 200.        ]
[550.         649.90185185 500.08814843 200.1        200.        ]
[550.         649.9        500.0898151  200.10185185 200.        ]
[550.         649.89814815 500.09148177 200.1037037  200.        ]
[550.         649.8962963  500.09314844 200.10555556 200.        ]
[550.         649.89444444 500.09481511 200.10740741 200.        ]
[550.         649.89259259 500.09648178 200.10925926 200.        ]
[550.         649.89074074 500.09814846 200.11111111 200.        ]
[550.         649.88888889 500.09981513 200.11296296 200.        ]
[550.         649.88703704 500.1014818  200.11481481 200.        ]
[550.         649.88518519 500.10314847 200.11666667 200.        ]
[550.         649.88333333 500.10481514 200.11851852 200.        ]
[550.         649.88148148 500.10648182 200.12037037 200.        ]
[550.         649.87962963 500.10814849 200.12222222 200.        ]
[550.         649.87777778 500.10981516 200.12407407 200.        ]
[550.         649.87592593 500.11148183 200.12592593 200.        ]
[550.         649.87407407 500.1131485  200.12777778 200.        ]
[550.         649.87222222 500.11481517 200.12962963 200.        ]
[550.         649.87037037 500.11648185 200.13148148 200.        ]
[550.         649.86851852 500.11814852 200.13333333 200.        ]
[550.         649.86666667 500.11981519 200.13518519 200.        ]
[550.         649.86481481 500.12148186 200.13703704 200.        ]
[550.         649.86296296 500.12314853 200.13888889 200.        ]
[550.         649.86111111 500.12481521 200.14074074 200.        ]
[550.         649.85925926 500.12648188 200.14259259 200.        ]
[550.         649.85740741 500.12814855 200.14444444 200.        ]
[550.         649.85555556 500.12981522 200.1462963  200.        ]
[550.         649.8537037  500.13148189 200.14814815 200.        ]
[550.         649.85185185 500.13314856 200.15       200.        ]
[550.         649.85       500.13481524 200.15185185 200.        ]
[550.         649.84814815 500.13648191 200.1537037  200.        ]
[550.         649.8462963  500.13814858 200.15555556 200.        ]
[550.         649.84444444 500.13981525 200.15740741 200.        ]
[550.         649.84259259 500.14148192 200.15925926 200.        ]
[550.         649.84074074 500.1431486  200.16111111 200.        ]
[550.         649.83888889 500.14481527 200.16296296 200.        ]
[550.         649.83703704 500.14648194 200.16481481 200.        ]
[550.         649.83518519 500.14814861 200.16666667 200.        ]
[550.         649.83333333 500.14981528 200.16851852 200.        ]
[550.         649.83148148 500.15148195 200.17037037 200.        ]
[550.         649.82962963 500.15314863 200.17222222 200.        ]
[550.         649.82777778 500.1548153  200.17407407 200.        ]
[550.         649.82592593 500.15648197 200.17592593 200.        ]
[550.         649.82407407 500.15814864 200.17777778 200.        ]
[550.         649.82222222 500.15981531 200.17962963 200.        ]
[550.         649.82037037 500.16148199 200.18148148 200.        ]
[550.         649.81851852 500.16314866 200.18333333 200.        ]
[550.         649.81666667 500.16481533 200.18518519 200.        ]
[550.         649.81481481 500.166482   200.18703704 200.        ]
[550.         649.81296296 500.16814867 200.18888889 200.        ]
[550.         649.81111111 500.16981534 200.19074074 200.        ]
[550.         649.80925926 500.17148202 200.19259259 200.        ]
[550.         649.80740741 500.17314869 200.19444444 200.        ]
[550.         649.80555556 500.17481536 200.1962963  200.        ]
[550.         649.8037037  500.17648203 200.19814815 200.        ]
[550.         649.80185185 500.1781487  200.2        200.        ]
[550.         649.8        500.17981538 200.20185185 200.        ]
[550.         649.79814815 500.18148205 200.2037037  200.        ]
[550.         649.7962963  500.18314872 200.20555556 200.        ]
[550.         649.79444444 500.18481539 200.20740741 200.        ]
[550.         649.79259259 500.18648206 200.20925926 200.        ]
[550.         649.79074074 500.18814873 200.21111111 200.        ]
[550.         649.78888889 500.18981541 200.21296296 200.        ]
[550.         649.78703704 500.19148208 200.21481481 200.        ]
[550.         649.78518519 500.19314875 200.21666667 200.        ]
[550.         649.78333333 500.19481542 200.21851852 200.        ]
[550.         649.78148148 500.19648209 200.22037037 200.        ]
[550.         649.77962963 500.19814877 200.22222222 200.        ]
[550.         649.77777778 500.19981544 200.22407407 200.        ]
[550.         649.77592593 500.20148211 200.22592593 200.        ]
[550.         649.77407407 500.20314878 200.22777778 200.        ]
[550.         649.77222222 500.20481545 200.22962963 200.        ]
[550.         649.77037037 500.20648212 200.23148148 200.        ]
[550.         649.76851852 500.2081488  200.23333333 200.        ]
[550.         649.76666667 500.20981547 200.23518519 200.        ]
[550.         649.76481481 500.21148214 200.23703704 200.        ]
[550.         649.76296296 500.21314881 200.23888889 200.        ]
[550.         649.76111111 500.21481548 200.24074074 200.        ]
[550.         649.75925926 500.21648216 200.24259259 200.        ]
[550.         649.75740741 500.21814883 200.24444444 200.        ]
[550.         649.75555556 500.2198155  200.2462963  200.        ]
[550.         649.7537037  500.22148217 200.24814815 200.        ]
[550.         649.75185185 500.22314884 200.25       200.        ]
[550.         649.75       500.22481551 200.25185185 200.        ]
[550.         649.74814815 500.22648219 200.2537037  200.        ]
[550.         649.7462963  500.22814886 200.25555556 200.        ]
[550.         649.74444444 500.22981553 200.25740741 200.        ]
[550.         649.74259259 500.2314822  200.25925926 200.        ]
[550.         649.74074074 500.23314887 200.26111111 200.        ]
[550.         649.73888889 500.23481555 200.26296296 200.        ]
[550.         649.73703704 500.23648222 200.26481481 200.        ]
[550.         649.73518519 500.23814889 200.26666667 200.        ]
[550.         649.73333333 500.23981556 200.26851852 200.        ]
[550.         649.73148148 500.24148223 200.27037037 200.        ]
[550.         649.72962963 500.2431489  200.27222222 200.        ]
[550.         649.72777778 500.24481558 200.27407407 200.        ]
[550.         649.72592593 500.24648225 200.27592593 200.        ]
[550.         649.72407407 500.24814892 200.27777778 200.        ]
[550.         649.72222222 500.24981559 200.27962963 200.        ]
[550.         649.72037037 500.25148226 200.28148148 200.        ]
[550.         649.71851852 500.25314894 200.28333333 200.        ]
[550.         649.71666667 500.25481561 200.28518519 200.        ]
[550.         649.71481481 500.25648228 200.28703704 200.        ]
[550.         649.71296296 500.25814895 200.28888889 200.        ]
[550.         649.71111111 500.25981562 200.29074074 200.        ]
[550.         649.70925926 500.26148229 200.29259259 200.        ]
[550.         649.70740741 500.26314897 200.29444444 200.        ]
[550.         649.70555556 500.26481564 200.2962963  200.        ]
[550.         649.7037037  500.26648231 200.29814815 200.        ]
[550.         649.70185185 500.26814898 200.3        200.        ]
[550.         649.7        500.26981565 200.30185185 200.        ]
[550.         649.69814815 500.27148233 200.3037037  200.        ]
[550.         649.6962963  500.273149   200.30555556 200.        ]
[550.         649.69444444 500.27481567 200.30740741 200.        ]
[550.         649.69259259 500.27648234 200.30925926 200.        ]
[550.         649.69074074 500.27814901 200.31111111 200.        ]
[550.         649.68888889 500.27981568 200.31296296 200.        ]
[550.         649.68703704 500.28148236 200.31481481 200.        ]
[550.         649.68518519 500.28314903 200.31666667 200.        ]
[550.         649.68333333 500.2848157  200.31851852 200.        ]
[550.         649.68148148 500.28648237 200.32037037 200.        ]
[550.         649.67962963 500.28814904 200.32222222 200.        ]
[550.         649.67777778 500.28981571 200.32407407 200.        ]
[550.         649.67592593 500.29148239 200.32592593 200.        ]
[550.         649.67407407 500.29314906 200.32777778 200.        ]
[550.         649.67222222 500.29481573 200.32962963 200.        ]
[550.         649.67037037 500.2964824  200.33148148 200.        ]
[550.         649.66851852 500.29814907 200.33333333 200.        ]
[550.         649.66666667 500.29981575 200.33518519 200.        ]
[550.         649.66481481 500.30148242 200.33703704 200.        ]
[550.         649.66296296 500.30314909 200.33888889 200.        ]
[550.         649.66111111 500.30481576 200.34074074 200.        ]
[550.         649.65925926 500.30648243 200.34259259 200.        ]
[550.         649.65740741 500.3081491  200.34444444 200.        ]
[550.         649.65555556 500.30981578 200.3462963  200.        ]
[550.         649.6537037  500.31148245 200.34814815 200.        ]
[550.         649.65185185 500.31314912 200.35       200.        ]
[550.         649.65       500.31481579 200.35185185 200.        ]
[550.         649.64814815 500.31648246 200.3537037  200.        ]
[550.         649.6462963  500.31814914 200.35555556 200.        ]
[550.         649.64444444 500.31981581 200.35740741 200.        ]
[550.         649.64259259 500.32148248 200.35925926 200.        ]
[550.         649.64074074 500.32314915 200.36111111 200.        ]
[550.         649.63888889 500.32481582 200.36296296 200.        ]
[550.         649.63703704 500.32648249 200.36481481 200.        ]
[550.         649.63518519 500.32814917 200.36666667 200.        ]
[550.         649.63333333 500.32981584 200.36851852 200.        ]
[550.         649.63148148 500.33148251 200.37037037 200.        ]
[550.         649.62962963 500.33314918 200.37222222 200.        ]
[550.         649.62777778 500.33481585 200.37407407 200.        ]
[550.         649.62592593 500.33648253 200.37592593 200.        ]
[550.         649.62407407 500.3381492  200.37777778 200.        ]
[550.         649.62222222 500.33981587 200.37962963 200.        ]
[550.         649.62037037 500.34148254 200.38148148 200.        ]
[550.         649.61851852 500.34314921 200.38333333 200.        ]
[550.         649.61666667 500.34481588 200.38518519 200.        ]
[550.         649.61481481 500.34648256 200.38703704 200.        ]
[550.         649.61296296 500.34814923 200.38888889 200.        ]
[550.         649.61111111 500.3498159  200.39074074 200.        ]
[550.         649.60925926 500.35148257 200.39259259 200.        ]
[550.         649.60740741 500.35314924 200.39444444 200.        ]
[550.         649.60555556 500.35481592 200.3962963  200.        ]
[550.         649.6037037  500.35648259 200.39814815 200.        ]
[550.         649.60185185 500.35814926 200.4        200.        ]
[550.         649.6        500.35981593 200.40185185 200.        ]
[550.         649.59814815 500.3614826  200.4037037  200.        ]
[550.         649.5962963  500.36314927 200.40555556 200.        ]
[550.         649.59444444 500.36481595 200.40740741 200.        ]
[550.         649.59259259 500.36648262 200.40925926 200.        ]
[550.         649.59074074 500.36814929 200.41111111 200.        ]
[550.         649.58888889 500.36981596 200.41296296 200.        ]
[550.         649.58703704 500.37148263 200.41481481 200.        ]
[550.         649.58518519 500.37314931 200.41666667 200.        ]
[550.         649.58333333 500.37481598 200.41851852 200.        ]
[550.         649.58148148 500.37648265 200.42037037 200.        ]
[550.         649.57962963 500.37814932 200.42222222 200.        ]
[550.         649.57777778 500.37981599 200.42407407 200.        ]
[550.         649.57592593 500.38148266 200.42592593 200.        ]
[550.         649.57407407 500.38314934 200.42777778 200.        ]
[550.         649.57222222 500.38481601 200.42962963 200.        ]
[550.         649.57037037 500.38648268 200.43148148 200.        ]
[550.         649.56851852 500.38814935 200.43333333 200.        ]
[550.         649.56666667 500.38981602 200.43518519 200.        ]
[550.         649.56481481 500.3914827  200.43703704 200.        ]
[550.         649.56296296 500.39314937 200.43888889 200.        ]
[550.         649.56111111 500.39481604 200.44074074 200.        ]
[550.         649.55925926 500.39648271 200.44259259 200.        ]
[550.         649.55740741 500.39814938 200.44444444 200.        ]
[550.         649.55555556 500.39981605 200.4462963  200.        ]
[550.         649.5537037  500.40148273 200.44814815 200.        ]
[550.         649.55185185 500.4031494  200.45       200.        ]
[550.         649.55       500.40481607 200.45185185 200.        ]
[550.         649.54814815 500.40648274 200.4537037  200.        ]
[550.         649.5462963  500.40814941 200.45555556 200.        ]
[550.         649.54444444 500.40981609 200.45740741 200.        ]
[550.         649.54259259 500.41148276 200.45925926 200.        ]
[550.         649.54074074 500.41314943 200.46111111 200.        ]
[550.         649.53888889 500.4148161  200.46296296 200.        ]
[550.         649.53703704 500.41648277 200.46481481 200.        ]
[550.         649.53518519 500.41814944 200.46666667 200.        ]
[550.         649.53333333 500.41981612 200.46851852 200.        ]
[550.         649.53148148 500.42148279 200.47037037 200.        ]
[550.         649.52962963 500.42314946 200.47222222 200.        ]
[550.         649.52777778 500.42481613 200.47407407 200.        ]
[550.         649.52592593 500.4264828  200.47592593 200.        ]
[550.         649.52407407 500.42814948 200.47777778 200.        ]
[550.         649.52222222 500.42981615 200.47962963 200.        ]
[550.         649.52037037 500.43148282 200.48148148 200.        ]
[550.         649.51851852 500.43314949 200.48333333 200.        ]
[550.         649.51666667 500.43481616 200.48518519 200.        ]
[550.         649.51481481 500.43648283 200.48703704 200.        ]
[550.         649.51296296 500.43814951 200.48888889 200.        ]
[550.         649.51111111 500.43981618 200.49074074 200.        ]
[550.         649.50925926 500.44148285 200.49259259 200.        ]
[550.         649.50740741 500.44314952 200.49444444 200.        ]
[550.         649.50555556 500.44481619 200.4962963  200.        ]
[550.         649.5037037  500.44648287 200.49814815 200.        ]
[550.         649.50185185 500.44814954 200.5        200.        ]
[550.         649.5        500.44981621 200.50185185 200.        ]
[550.         649.49814815 500.45148288 200.5037037  200.        ]
[550.         649.4962963  500.45314955 200.50555556 200.        ]
[550.         649.49444444 500.45481622 200.50740741 200.        ]
[550.         649.49259259 500.4564829  200.50925926 200.        ]
[550.         649.49074074 500.45814957 200.51111111 200.        ]
[550.         649.48888889 500.45981624 200.51296296 200.        ]
[550.         649.48703704 500.46148291 200.51481481 200.        ]
[550.         649.48518519 500.46314958 200.51666667 200.        ]
[550.         649.48333333 500.46481626 200.51851852 200.        ]
[550.         649.48148148 500.46648293 200.52037037 200.        ]
[550.         649.47962963 500.4681496  200.52222222 200.        ]
[550.         649.47777778 500.46981627 200.52407407 200.        ]
[550.         649.47592593 500.47148294 200.52592593 200.        ]
[550.         649.47407407 500.47314961 200.52777778 200.        ]
[550.         649.47222222 500.47481629 200.52962963 200.        ]
[550.         649.47037037 500.47648296 200.53148148 200.        ]
[550.         649.46851852 500.47814963 200.53333333 200.        ]
[550.         649.46666667 500.4798163  200.53518519 200.        ]
[550.         649.46481481 500.48148297 200.53703704 200.        ]
[550.         649.46296296 500.48314965 200.53888889 200.        ]
[550.         649.46111111 500.48481632 200.54074074 200.        ]
[550.         649.45925926 500.48648299 200.54259259 200.        ]
[550.         649.45740741 500.48814966 200.54444444 200.        ]
[550.         649.45555556 500.48981633 200.5462963  200.        ]
[550.         649.4537037  500.491483   200.54814815 200.        ]
[550.         649.45185185 500.49314968 200.55       200.        ]
[550.         649.45       500.49481635 200.55185185 200.        ]
[550.         649.44814815 500.49648302 200.5537037  200.        ]
[550.         649.4462963  500.49814969 200.55555556 200.        ]
[550.         649.44444444 500.49981636 200.55740741 200.        ]
[550.         649.44259259 500.50148303 200.55925926 200.        ]
[550.         649.44074074 500.50314971 200.56111111 200.        ]
[550.         649.43888889 500.50481638 200.56296296 200.        ]
[550.         649.43703704 500.50648305 200.56481481 200.        ]
[550.         649.43518519 500.50814972 200.56666667 200.        ]
[550.         649.43333333 500.50981639 200.56851852 200.        ]
[550.         649.43148148 500.51148307 200.57037037 200.        ]
[550.         649.42962963 500.51314974 200.57222222 200.        ]
[550.         649.42777778 500.51481641 200.57407407 200.        ]
[550.         649.42592593 500.51648308 200.57592593 200.        ]
[550.         649.42407407 500.51814975 200.57777778 200.        ]
[550.         649.42222222 500.51981642 200.57962963 200.        ]
[550.         649.42037037 500.5214831  200.58148148 200.        ]
[550.         649.41851852 500.52314977 200.58333333 200.        ]
[550.         649.41666667 500.52481644 200.58518519 200.        ]
[550.         649.41481481 500.52648311 200.58703704 200.        ]
[550.         649.41296296 500.52814978 200.58888889 200.        ]
[550.         649.41111111 500.52981646 200.59074074 200.        ]
[550.         649.40925926 500.53148313 200.59259259 200.        ]
[550.         649.40740741 500.5331498  200.59444444 200.        ]
[550.         649.40555556 500.53481647 200.5962963  200.        ]
[550.         649.4037037  500.53648314 200.59814815 200.        ]
[550.         649.40185185 500.53814981 200.6        200.        ]
[550.         649.4        500.53981649 200.60185185 200.        ]
[550.         649.39814815 500.54148316 200.6037037  200.        ]
[550.         649.3962963  500.54314983 200.60555556 200.        ]
[550.         649.39444444 500.5448165  200.60740741 200.        ]
[550.         649.39259259 500.54648317 200.60925926 200.        ]
[550.         649.39074074 500.54814985 200.61111111 200.        ]
[550.         649.38888889 500.54981652 200.61296296 200.        ]
[550.         649.38703704 500.55148319 200.61481481 200.        ]
[550.         649.38518519 500.55314986 200.61666667 200.        ]
[550.         649.38333333 500.55481653 200.61851852 200.        ]
[550.         649.38148148 500.5564832  200.62037037 200.        ]
[550.         649.37962963 500.55814988 200.62222222 200.        ]
[550.         649.37777778 500.55981655 200.62407407 200.        ]
[550.         649.37592593 500.56148322 200.62592593 200.        ]
[550.         649.37407407 500.56314989 200.62777778 200.        ]
[550.         649.37222222 500.56481656 200.62962963 200.        ]
[550.         649.37037037 500.56648324 200.63148148 200.        ]
[550.         649.36851852 500.56814991 200.63333333 200.        ]
[550.         649.36666667 500.56981658 200.63518519 200.        ]
[550.         649.36481481 500.57148325 200.63703704 200.        ]
[550.         649.36296296 500.57314992 200.63888889 200.        ]
[550.         649.36111111 500.57481659 200.64074074 200.        ]
[550.         649.35925926 500.57648327 200.64259259 200.        ]
[550.         649.35740741 500.57814994 200.64444444 200.        ]
[550.         649.35555556 500.57981661 200.6462963  200.        ]
[550.         649.3537037  500.58148328 200.64814815 200.        ]
[550.         649.35185185 500.58314995 200.65       200.        ]
[550.         649.35       500.58481663 200.65185185 200.        ]
[550.         649.34814815 500.5864833  200.6537037  200.        ]
[550.         649.3462963  500.58814997 200.65555556 200.        ]
[550.         649.34444444 500.58981664 200.65740741 200.        ]
[550.         649.34259259 500.59148331 200.65925926 200.        ]
[550.         649.34074074 500.59314998 200.66111111 200.        ]
[550.         649.33888889 500.59481666 200.66296296 200.        ]
[550.         649.33703704 500.59648333 200.66481481 200.        ]
[550.         649.33518519 500.59815    200.66666667 200.        ]
[550.         649.33333333 500.59981667 200.66851852 200.        ]
[550.         649.33148148 500.60148334 200.67037037 200.        ]
[550.         649.32962963 500.60315002 200.67222222 200.        ]
[550.         649.32777778 500.60481669 200.67407407 200.        ]
[550.         649.32592593 500.60648336 200.67592593 200.        ]
[550.         649.32407407 500.60815003 200.67777778 200.        ]
[550.         649.32222222 500.6098167  200.67962963 200.        ]
[550.         649.32037037 500.61148337 200.68148148 200.        ]
[550.         649.31851852 500.61315005 200.68333333 200.        ]
[550.         649.31666667 500.61481672 200.68518519 200.        ]
[550.         649.31481481 500.61648339 200.68703704 200.        ]
[550.         649.31296296 500.61815006 200.68888889 200.        ]
[550.         649.31111111 500.61981673 200.69074074 200.        ]
[550.         649.30925926 500.62148341 200.69259259 200.        ]
[550.         649.30740741 500.62315008 200.69444444 200.        ]
[550.         649.30555556 500.62481675 200.6962963  200.        ]
[550.         649.3037037  500.62648342 200.69814815 200.        ]
[550.         649.30185185 500.62815009 200.7        200.        ]
[550.         649.3        500.62981676 200.70185185 200.        ]
[550.         649.29814815 500.63148344 200.7037037  200.        ]
[550.         649.2962963  500.63315011 200.70555556 200.        ]
[550.         649.29444444 500.63481678 200.70740741 200.        ]
[550.         649.29259259 500.63648345 200.70925926 200.        ]
[550.         649.29074074 500.63815012 200.71111111 200.        ]
[550.         649.28888889 500.6398168  200.71296296 200.        ]
[550.         649.28703704 500.64148347 200.71481481 200.        ]
[550.         649.28518519 500.64315014 200.71666667 200.        ]
[550.         649.28333333 500.64481681 200.71851852 200.        ]
[550.         649.28148148 500.64648348 200.72037037 200.        ]
[550.         649.27962963 500.64815015 200.72222222 200.        ]
[550.         649.27777778 500.64981683 200.72407407 200.        ]
[550.         649.27592593 500.6514835  200.72592593 200.        ]
[550.         649.27407407 500.65315017 200.72777778 200.        ]
[550.         649.27222222 500.65481684 200.72962963 200.        ]
[550.         649.27037037 500.65648351 200.73148148 200.        ]
[550.         649.26851852 500.65815019 200.73333333 200.        ]
[550.         649.26666667 500.65981686 200.73518519 200.        ]
[550.         649.26481481 500.66148353 200.73703704 200.        ]
[550.         649.26296296 500.6631502  200.73888889 200.        ]
[550.         649.26111111 500.66481687 200.74074074 200.        ]
[550.         649.25925926 500.66648354 200.74259259 200.        ]
[550.         649.25740741 500.66815022 200.74444444 200.        ]
[550.         649.25555556 500.66981689 200.7462963  200.        ]
[550.         649.2537037  500.67148356 200.74814815 200.        ]
[550.         649.25185185 500.67315023 200.75       200.        ]
[550.         649.25       500.6748169  200.75185185 200.        ]
[550.         649.24814815 500.67648358 200.7537037  200.        ]
[550.         649.2462963  500.67815025 200.75555556 200.        ]
[550.         649.24444444 500.67981692 200.75740741 200.        ]
[550.         649.24259259 500.68148359 200.75925926 200.        ]
[550.         649.24074074 500.68315026 200.76111111 200.        ]
[550.         649.23888889 500.68481693 200.76296296 200.        ]
[550.         649.23703704 500.68648361 200.76481481 200.        ]
[550.         649.23518519 500.68815028 200.76666667 200.        ]
[550.         649.23333333 500.68981695 200.76851852 200.        ]
[550.         649.23148148 500.69148362 200.77037037 200.        ]
[550.         649.22962963 500.69315029 200.77222222 200.        ]
[550.         649.22777778 500.69481696 200.77407407 200.        ]
[550.         649.22592593 500.69648364 200.77592593 200.        ]
[550.         649.22407407 500.69815031 200.77777778 200.        ]
[550.         649.22222222 500.69981698 200.77962963 200.        ]
[550.         649.22037037 500.70148365 200.78148148 200.        ]
[550.         649.21851852 500.70315032 200.78333333 200.        ]
[550.         649.21666667 500.704817   200.78518519 200.        ]
[550.         649.21481481 500.70648367 200.78703704 200.        ]
[550.         649.21296296 500.70815034 200.78888889 200.        ]
[550.         649.21111111 500.70981701 200.79074074 200.        ]
[550.         649.20925926 500.71148368 200.79259259 200.        ]
[550.         649.20740741 500.71315035 200.79444444 200.        ]
[550.         649.20555556 500.71481703 200.7962963  200.        ]
[550.         649.2037037  500.7164837  200.79814815 200.        ]
[550.         649.20185185 500.71815037 200.8        200.        ]
[550.         649.2        500.71981704 200.80185185 200.        ]
[550.         649.19814815 500.72148371 200.8037037  200.        ]
[550.         649.1962963  500.72315039 200.80555556 200.        ]
[550.         649.19444444 500.72481706 200.80740741 200.        ]
[550.         649.19259259 500.72648373 200.80925926 200.        ]
[550.         649.19074074 500.7281504  200.81111111 200.        ]
[550.         649.18888889 500.72981707 200.81296296 200.        ]
[550.         649.18703704 500.73148374 200.81481481 200.        ]
[550.         649.18518519 500.73315042 200.81666667 200.        ]
[550.         649.18333333 500.73481709 200.81851852 200.        ]
[550.         649.18148148 500.73648376 200.82037037 200.        ]
[550.         649.17962963 500.73815043 200.82222222 200.        ]
[550.         649.17777778 500.7398171  200.82407407 200.        ]
[550.         649.17592593 500.74148378 200.82592593 200.        ]
[550.         649.17407407 500.74315045 200.82777778 200.        ]
[550.         649.17222222 500.74481712 200.82962963 200.        ]
[550.         649.17037037 500.74648379 200.83148148 200.        ]
[550.         649.16851852 500.74815046 200.83333333 200.        ]
[550.         649.16666667 500.74981713 200.83518519 200.        ]
[550.         649.16481481 500.75148381 200.83703704 200.        ]
[550.         649.16296296 500.75315048 200.83888889 200.        ]
[550.         649.16111111 500.75481715 200.84074074 200.        ]
[550.         649.15925926 500.75648382 200.84259259 200.        ]
